Name,Group,Trilha,Status,Priority,Estimate (d),Sprint,Depends on,Blocked by,Module,Requirements,Docs
"NR-001 — Workspace pnpm + Turborepo, Docker Compose local, CI, hooks, ESLint",Sprint 0 — Fundação,Trilha 2 — Plataforma & Integracoes,Done,Medium,3,Sprint 0,,,repo infra,,docs/processo/task-ledger.md
"NR-002 — Base de documentação: produto, arquitetura, engenharia, decisões",Sprint 0 — Fundação,Compartilhada,Done,Medium,4,Sprint 0,,,docs,,docs/processo/task-ledger.md
"NR-003 — packages/money — centavos, allocate sem perda de resto, 21 testes",Sprint 0 — Fundação,Trilha 1 — Nucleo & Dados,Done,Medium,1,Sprint 0,,,money,,docs/processo/task-ledger.md
"NR-004 — domain: cálculo de venda — custo, imposto, tarifa de cartão, parcelas",Sprint 1 — Núcleo mínimo,Trilha 1 — Nucleo & Dados,Done,Medium,3,Sprint 1,NR-003,,domain,"RF-040, RF-041, RF-038",docs/processo/task-ledger.md
"NR-005 — contracts: schemas base (Company, Customer, Product, Sale)",Sprint 1 — Núcleo mínimo,Trilha 1 — Nucleo & Dados,Not started,Medium,2,Sprint 1,NR-003,,contracts,RNF-027,docs/processo/task-ledger.md
NR-006 — Configuração tipada: validar variáveis de ambiente na inicialização,Sprint 1 — Núcleo mínimo,Trilha 2 — Plataforma & Integracoes,Not started,Medium,1,Sprint 1,NR-001,,repo,—,docs/processo/task-ledger.md
"NR-007 — db: estratégia multi-tenant, RLS e teste de isolamento",Sprint 1 — Núcleo mínimo,Trilha 1 — Nucleo & Dados,Not started,Medium,3,Sprint 1,NR-005,,db,"RF-121, RF-122, RNF-021",docs/processo/task-ledger.md
"NR-008 — db: schema de cadastros (companies, users.company_id, customers, products)",Sprint 1 — Núcleo mínimo,Trilha 1 — Nucleo & Dados,Not started,Medium,2,Sprint 1,NR-007,,db,"RF-001, RF-009, RF-017, RF-132",docs/processo/task-ledger.md
"NR-009 — api: base — contexto de execução, erro padronizado, validação por contracts",Sprint 1 — Núcleo mínimo,Trilha 2 — Plataforma & Integracoes,Not started,Medium,2,Sprint 1,NR-005,,api,"RNF-027, RNF-054",docs/processo/task-ledger.md
NR-010 — Qualidade: lint com type-checking e piso de cobertura na CI,Sprint 1 — Núcleo mínimo,Trilha 2 — Plataforma & Integracoes,Not started,Medium,1,Sprint 1,NR-001,,repo,RNF-068,docs/processo/task-ledger.md
"NR-011 — ui: tokens de design (cor, tipografia, espaçamento)",Sprint 1 — Núcleo mínimo,Trilha 3 — Clientes,Blocked,High,2,Sprint 1,,DEC-001/QST-011,ui,RNF-055,docs/processo/task-ledger.md
NR-012 — mobile: shell de navegação e sessão,Sprint 1 — Núcleo mínimo,Trilha 3 — Clientes,Blocked,High,3,Sprint 1,NR-011,DEC-008,mobile,US-059,docs/processo/task-ledger.md
NR-013 — web: shell de layout e sessão,Sprint 1 — Núcleo mínimo,Trilha 3 — Clientes,Blocked,High,2,Sprint 1,NR-011,DEC-008,web,US-059,docs/processo/task-ledger.md
